date,store_id,sales_amount
2026-01-01,S001,12450
2026-01-01,S002,13120
2026-01-01,S003,11890
2026-01-02,S001,12780
2026-01-02,S002,12950
2026-01-02,S003,12110
2026-01-03,S001,12640
2026-01-03,S002,13010
2026-01-03,S003,11980
2026-01-04,S001,12590
2026-01-04,S002,12870
2026-01-04,S003,12050
2026-01-05,S001,12410
2026-01-05,S002,13240
2026-01-05,S003,11760
2026-01-06,S001,12890
2026-01-06,S002,12980
2026-01-06,S003,12230
2026-01-07,S001,12610
2026-01-07,S002,13050
2026-01-07,S003,11840
2026-01-08,S001,12530
2026-01-08,S002,12790
2026-01-08,S003,12170
2026-01-09,S001,12480
2026-01-09,S002,12920
2026-01-09,S003,11910
2026-01-10,S001,12690
2026-01-10,S002,13110
2026-01-10,S003,12030
2026-01-11,S001,12570
2026-01-11,S002,12840
2026-01-11,S003,11870
2026-01-12,S001,12720
2026-01-12,S002,13090
2026-01-12,S003,12140
2026-01-13,S001,12630
2026-01-13,S002,12960
2026-01-13,S003,11950
2026-01-14,S001,12510
2026-01-14,S002,12760
2026-01-14,S003,12090
2026-01-15,S001,12430
2026-01-15,S002,13210
2026-01-15,S003,11810
2026-01-16,S001,12680
2026-01-16,S002,12930
2026-01-16,S003,12120
2026-01-17,S001,12560
2026-01-17,S002,13020
2026-01-17,S003,11990
2026-01-18,S001,12490
2026-01-18,S002,12810
2026-01-18,S003,12060
2026-01-19,S001,12650
2026-01-19,S002,13140
2026-01-19,S003,11860
2026-01-20,S001,12540
2026-01-20,S002,12910
2026-01-20,S003,12100
2026-01-21,S001,12710
2026-01-21,S002,13080
2026-01-21,S003,11930
2026-01-22,S001,12520
2026-01-22,S002,12750
2026-01-22,S003,12020
2026-01-23,S001,12470
2026-01-23,S002,12970
2026-01-23,S003,11890
2026-01-24,S001,12620
2026-01-24,S002,13040
2026-01-24,S003,12150
2026-01-25,S001,12580
2026-01-25,S002,12860
2026-01-25,S003,11970
2026-01-26,S001,12600
2026-01-26,S002,13100
2026-01-26,S003,12080
2026-01-27,S001,12500
2026-01-27,S002,12830
2026-01-27,S003,11850
2026-01-28,S001,12670
2026-01-28,S002,12940
2026-01-28,S003,12130
2026-01-29,S001,12460
2026-01-29,S002,13060
2026-01-29,S003,11920
2026-01-30,S001,50000
2026-01-30,S002,12990
2026-01-30,S003,12110
2026-01-31,S001,12640
2026-01-31,S002,3000
2026-01-31,S003,12040
